risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.2645266017064059,0.034987161505169756,0.05475692245987551,0.048640971888526896,0.05475692245987551,0.4965628538077232,0.5025077703221679
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.710648487189237,0.25251063617217556,0.03173027750087676,0.030601721422991335,0.03173027750087676,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.7101047082738825,0.2521243483563679,0.029213114495273973,0.02856646523888584,0.029213114495273973,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.7098539089033254,0.25194628599266533,0.028106809847570413,0.027687543992651387,0.028106809847570413,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.7096932122148841,0.2518322277319403,0.02746534329889405,0.027166734584174845,0.02746534329889405,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.7095757904496569,0.2517489011961277,0.027065749780127435,0.026817105926070894,0.027065749780127435,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.7094838192894066,0.2516836449167417,0.02681757358993997,0.026564511808572222,0.02681757358993997,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.70940864577962,0.2516303133534372,0.026651383336573353,0.026368892821773793,0.026651383336573353,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.7093454011319769,0.2515854490535426,0.026524435572843785,0.026211139944572803,0.026524435572843785,-1160.5773810385,-1449.1566427575906
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.7092910614899616,0.2515469049547782,0.026428360812649432,0.02608067772288547,0.026428360812649432,-1160.5773810385,-1449.1566427575906
