risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.2645266017064059,0.034987161505169756,0.05475692245987551,0.048640971888526896,0.05475692245987551,0.4965628538077232,0.5025077703221679
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.23583855375528762,0.027809911718692844,0.048688862864123994,0.04465745938142085,0.048688862864123994,0.4965650493102025,0.5024782439646629
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.22707520696311229,0.02578157480867014,0.04616504487393036,0.04258811515602068,0.04616504487393036,0.49657094450574224,0.5024703683627434
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.22092220007033805,0.02440330924195924,0.044302218772859336,0.040945363175000304,0.044302218772859336,0.496575391637086,0.5024640617882509
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.21608296618622735,0.02334592413791914,0.04277911867551665,0.039542279042245665,0.04277911867551665,0.49657913020690525,0.5024587224553607
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.21206994830938988,0.02248683148797365,0.04147558294461495,0.03830035475796034,0.04147558294461495,0.49658244348002334,0.5024541176075372
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.2086398660197267,0.021765296846364753,0.04032699818951668,0.03720230362762583,0.04032699818951668,0.49658547833480743,0.5024501209775978
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.20565132530671804,0.02114623380020478,0.03932259636356372,0.036214693436732726,0.03932259636356372,0.4965883240337853,0.502446649088356
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.20301330806171594,0.02060720162508059,0.03841848778532464,0.03532691781725006,0.03841848778532464,0.4965910399957832,0.5024436392181251
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.2006625542916679,0.020132730347428286,0.03758734345886161,0.03453149607315886,0.03758734345886161,0.4965936677516292,0.5024410402321753
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,True,nan,nan,max_iter,,0.19855237640963114,0.019711523088955924,0.03682708060022677,0.033805960272335955,0.03682708060022677,0.4965962368874387,0.5024388083261153
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1100,1100,True,nan,nan,max_iter,,0.19664668018503698,0.019334958413898106,0.03612365314867283,0.0331425218133361,0.03612365314867283,0.4965987684053935,0.5024369049052492
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1200,1200,True,nan,nan,max_iter,,0.19491658555636526,0.01899623766247593,0.03548194360811019,0.032541699659674794,0.03548194360811019,0.49660127687823935,0.5024352954676173
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1300,1300,True,nan,nan,max_iter,,0.19333842256682995,0.01868987282031505,0.034925977625799964,0.031995365611095616,0.034925977625799964,0.49660377199140204,0.5024339489764562
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1400,1400,True,nan,nan,max_iter,,0.1918924802046166,0.01841136197953959,0.034437131681263056,0.03150135038454294,0.034437131681263056,0.4966062597350198,0.5024328374717726
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1500,1500,True,nan,nan,max_iter,,0.1905621773001591,0.018156971708688633,0.03400141316197636,0.031049338137971283,0.03400141316197636,0.4966087433611987,0.5024319357950978
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1600,1600,True,nan,nan,max_iter,,0.1893334761629633,0.017923582597975697,0.03361588722093389,0.030636116650184064,0.03361588722093389,0.4966112241581371,0.5024312213643696
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1700,1700,True,nan,nan,max_iter,,0.18819444160169022,0.017708573924885996,0.03326041916927425,0.030258414381842902,0.03326041916927425,0.4966137020680329,0.5024306739689716
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1800,1800,True,nan,nan,max_iter,,0.187134892701085,0.017509734033123298,0.0329343617286606,0.029913085837753206,0.0329343617286606,0.4966161761682621,0.5024302755725444
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,1900,1900,True,nan,nan,max_iter,,0.1861461187952268,0.017325188771263343,0.03263308778173735,0.029595305437076114,0.03263308778173735,0.49661864503441155,0.502430010120142
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2000,2000,True,nan,nan,max_iter,,0.18522064365197133,0.017153343417425273,0.03235520044374107,0.02930214818937993,0.03235520044374107,0.4966211070042157,0.502429863350516
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,0,0,True,nan,nan,max_iter,,0.2645266017064059,0.034987161505169756,0.05475692245987551,0.048640971888526896,0.05475692245987551,0.4965628538077232,0.5025077703221679
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,100,100,True,nan,nan,max_iter,,0.23573787976699453,0.027786173978518985,0.04857510251280439,0.04448088945368578,0.04857510251280439,0.4965717937943915,0.5022828064346996
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,200,200,True,nan,nan,max_iter,,0.22693705640622175,0.025750213785160337,0.04598747498333422,0.042351025227645334,0.04598747498333422,0.4966129254245585,0.5022291112219919
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,300,300,True,nan,nan,max_iter,,0.22075664717348628,0.024366748635639555,0.04406916942993022,0.04066980349323435,0.04406916942993022,0.4966432633597394,0.5021866806281705
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,400,400,True,nan,nan,max_iter,,0.21589792528979854,0.023305957072219715,0.042498816138016204,0.03923514010684537,0.042498816138016204,0.4966684225128523,0.5021512503517737
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,500,500,True,nan,nan,max_iter,,0.2118720756353627,0.022444888217018427,0.04116263600036385,0.037976223368156425,0.04116263600036385,0.4966905375873919,0.5021211720936316
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,600,600,True,nan,nan,max_iter,,0.20843465397940103,0.02172250248975632,0.04002182928040732,0.03686713926253338,0.04002182928040732,0.49671070410029233,0.5020955489396258
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,700,700,True,nan,nan,max_iter,,0.20544310257689344,0.02110343419820998,0.039014258420767556,0.035872591400754716,0.039014258420767556,0.49672957861867195,0.502073784013036
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,800,800,True,nan,nan,max_iter,,0.20280527413069693,0.020564989607613566,0.03811266955569037,0.0349836257881001,0.03811266955569037,0.4967475905104817,0.5020554247641198
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,900,900,True,nan,nan,max_iter,,0.20045687032675819,0.02009147843059937,0.03729293490508856,0.03418508919471497,0.03729293490508856,0.49676503348408685,0.5020400985023377
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,1000,1000,True,nan,nan,max_iter,,0.19835030252164457,0.01967142125521396,0.03654375990165837,0.03345410889122363,0.03654375990165837,0.4967821114737146,0.5020274827547134
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,1100,1100,True,nan,nan,max_iter,,0.1964487388331087,0.019296053494559477,0.03585421664648403,0.0327934226091211,0.03585421664648403,0.4967989648396852,0.5020172907567638
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,1200,1200,True,nan,nan,max_iter,,0.19472273017040842,0.018958470822508844,0.03523765124064904,0.0321967208264885,0.03523765124064904,0.4968156872459094,0.5020092640334286
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,1300,1300,True,nan,nan,max_iter,,0.1931481947622463,0.018653112569957313,0.03470106867478595,0.03165758972886068,0.03470106867478595,0.49683233767431645,0.502003168406855
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,1400,1400,True,nan,nan,max_iter,,0.19170514514095652,0.018375431336757602,0.03422944975639175,0.031168530002315453,0.03422944975639175,0.4968489495642122,0.5019987916404915
cvar,500,50,15328123,0.5,0.5,0.01,0.002,10.0,0.0001,0.5,2000,23,0.01,100,100,full_batch,0,1500,1500,True,nan,nan,max_iter,,0.19037683267498262,0.018121669209679166,0.03380798046947908,0.030722764867243624,0.03380798046947908,0.49686553798472655,0.5019959418150917
