risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,0,0,True,nan,nan,max_iter,,0.3094581489022535,0.047882172961004645,0.06407351841610076,0.06407351841610076,0.04377378393098297,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,100,100,True,nan,nan,max_iter,,0.30490504300794385,0.046483542625838044,0.0633311612744551,0.0633311612744551,0.04287329189723288,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,200,200,True,nan,nan,max_iter,,0.3029445049801897,0.0458876865488461,0.06300332181252,0.06300332181252,0.04248800015753412,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,300,300,True,nan,nan,max_iter,,0.301464741308266,0.04544049512602987,0.06275304692652856,0.06275304692652856,0.04219941314779224,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,400,400,True,nan,nan,max_iter,,0.30023377401405177,0.04507015952936035,0.0625426926234347,0.0625426926234347,0.04195960087478473,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,500,500,True,nan,nan,max_iter,,0.2991624832799474,0.0447490957011124,0.06235762460994965,0.06235762460994965,0.04175169528304312,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,600,600,True,nan,nan,max_iter,,0.2982029753910711,0.04446250726604388,0.062189968970624177,0.062189968970624177,0.04156763031183913,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,700,700,True,nan,nan,max_iter,,0.2973266535605046,0.04420156945874416,0.062035314728422275,0.062035314728422275,0.04140066668992015,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,800,800,True,nan,nan,max_iter,,0.29651832722678295,0.043961559190684764,0.06189201078912726,0.06189201078912726,0.041246837887974286,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,900,900,True,nan,nan,max_iter,,0.2957645620881965,0.04373833809361133,0.06175809321240161,0.06175809321240161,0.041103690123104386,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1000,1000,True,nan,nan,max_iter,,0.29505768332859705,0.04352951824561933,0.06163190326165979,0.06163190326165979,0.040969538819344786,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1100,1100,True,nan,nan,max_iter,,0.2943901111622328,0.04333276877505589,0.06151126551330499,0.06151126551330499,0.04084382838151551,nan,nan
msd,500,50,14128123,0.5,nan,0.01,0.02,1.0,0.5,2000,23,0.01,100,100,minibatch,0,1200,1200,True,nan,nan,max_iter,,0.29375523200307996,0.04314606816459166,0.061396364029334016,0.061396364029334016,0.04072368408652871,nan,nan
