risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,0,0,0,0,True,nan,nan,max_iter,,0.2852188286694951,0.0406748901137994,0.05138610150343015,0.05138610150343015,0.051338512316658536,0.5117492263606116,0.49899126650381026
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,100,100,0,100,True,nan,nan,max_iter,,0.717708309407552,0.25755260869632324,0.03785304999830286,0.03785304999830286,0.027181797430858134,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,200,200,0,200,True,nan,nan,max_iter,,0.7162170172944249,0.2564834079310613,0.03777446329272005,0.03777446329272005,0.0230397480053256,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,300,300,0,300,True,nan,nan,max_iter,,0.7152039934324573,0.2557583761108672,0.03790462123685423,0.03790462123685423,0.020402147300484064,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,400,400,0,400,True,nan,nan,max_iter,,0.7145981764007001,0.25532527685760303,0.03794083005006288,0.03794083005006288,0.020438138489996205,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,500,500,0,500,True,nan,nan,max_iter,,0.7142437995310112,0.2550721025842477,0.03778951759228888,0.03778951759228888,0.020433131743684108,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,600,600,0,600,True,nan,nan,max_iter,,0.713971692620877,0.25487778893196006,0.03764785582103902,0.03764785582103902,0.020186099132778468,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,700,700,0,700,True,nan,nan,max_iter,,0.7137373419813087,0.25471049666927176,0.03755815060084167,0.03755815060084167,0.019813216377185028,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,800,800,0,800,True,nan,nan,max_iter,,0.7135292180544057,0.25456197250866586,0.03750832269987692,0.03750832269987692,0.019392686471396914,-1390.769028038298,-1193.353133299153
cvar,1000,50,20228123,0.5,0.5,0.001,0.002,200.0,0.5,2000,32,0.01,100,100,minibatch,0,900,900,0,900,True,nan,nan,max_iter,,0.7133485492616735,0.2544330763668671,0.037484782191827826,0.037484782191827826,0.019046666018322278,-1390.769028038298,-1193.353133299153
