risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,500,500,0,500,True,nan,nan,regret_tolerance,regret_tolerance,4.344924456644577,9.439184266974086,0.6160979314649176,0.6160979314649176,0.024060571433790034,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,500,500,1,0,True,nan,nan,regret_tolerance,regret_tolerance,0.4341563317857086,0.09424586021481116,0.08852752777593542,0.0688979986050195,0.08852752777593542,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,600,600,1,100,True,nan,nan,regret_tolerance,regret_tolerance,2.2372726773615277,2.502694516434209,0.2532733101504705,0.2532733101504705,0.06579225301336145,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,700,700,1,200,True,nan,nan,regret_tolerance,regret_tolerance,2.2688035435547036,2.57373475962319,0.024634821538781826,0.024634821538781826,0.018421966329138284,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,800,800,1,300,True,nan,nan,regret_tolerance,regret_tolerance,1.5226339112804226,1.1592070138905588,0.024254410739562138,0.024254410739562138,0.01153140425421928,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,900,900,1,400,True,nan,nan,regret_tolerance,regret_tolerance,2.1354752494732847,2.280127270556494,0.33746279212357044,0.33746279212357044,0.19683443823665037,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1000,1000,1,500,True,nan,nan,regret_tolerance,regret_tolerance,1.827113315018567,1.6691715329590686,0.024987480452210886,0.024987480452210886,0.011488924721986149,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1100,1100,1,600,True,nan,nan,regret_tolerance,regret_tolerance,2.014382331691425,2.028868089115291,0.029155988470467964,0.029155988470467964,0.02391654134883614,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1200,1200,1,700,True,nan,nan,regret_tolerance,regret_tolerance,1.5323029858505606,1.1739762202232715,0.02886297276762506,0.02886297276762506,0.023949152461511747,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1300,1300,1,800,True,nan,nan,regret_tolerance,regret_tolerance,2.036500803432878,2.073667761191379,0.02746166961419505,0.02531710510922658,0.02746166961419505,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1300,1300,2,0,True,nan,nan,regret_tolerance,regret_tolerance,0.4669625509862639,0.10902701201179954,0.10286059473681353,0.10286059473681353,0.06914111058236005,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1400,1400,2,100,True,nan,nan,regret_tolerance,regret_tolerance,3.4873443316993455,6.080785243917777,0.48426414436718207,0.48426414436718207,0.1762106407450067,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1500,1500,2,200,True,nan,nan,regret_tolerance,regret_tolerance,1.8731384005769172,1.7543237338579256,0.019782261901515552,0.00981920067628883,0.019782261901515552,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1600,1600,2,300,True,nan,nan,regret_tolerance,regret_tolerance,1.6211109700059438,1.3140003885368061,0.2662588529330385,0.22278768291308426,0.2662588529330385,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1700,1700,2,400,True,nan,nan,regret_tolerance,regret_tolerance,2.1308690554943777,2.2703014658317504,0.022028815896008913,0.0190547207829056,0.022028815896008913,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1800,1800,2,500,True,nan,nan,regret_tolerance,regret_tolerance,2.105339270309318,2.2162267215532854,0.3335336985684263,0.09083676155092713,0.3335336985684263,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,1900,1900,2,600,True,nan,nan,regret_tolerance,regret_tolerance,1.603217331004121,1.2851529052159885,0.022482336971262562,0.010941143754872873,0.022482336971262562,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2000,2000,2,700,True,nan,nan,regret_tolerance,regret_tolerance,2.1987012266503556,2.4171435420368894,0.37878451216992215,0.02054025282649785,0.37878451216992215,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2000,2000,3,0,True,nan,nan,regret_tolerance,regret_tolerance,0.4634424334904977,0.10738944457979718,0.10619744879992998,0.09604094522692558,0.10619744879992998,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2100,2100,3,100,True,nan,nan,regret_tolerance,regret_tolerance,2.6779360911051784,3.585670854021841,0.3342233062194728,0.028487037268749127,0.3342233062194728,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2200,2200,3,200,True,nan,nan,regret_tolerance,regret_tolerance,2.8396142951900933,4.031704672723965,0.31325060096889845,0.31325060096889845,0.3108207072914109,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2300,2300,3,300,True,nan,nan,regret_tolerance,regret_tolerance,1.8162238690551358,1.6493345712628036,0.02340114487052647,0.018800915786920003,0.02340114487052647,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2400,2400,3,400,True,nan,nan,regret_tolerance,regret_tolerance,3.044339429143378,4.634001279918515,0.3445431527535178,0.02316330247167675,0.3445431527535178,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2500,2500,3,500,True,nan,nan,regret_tolerance,regret_tolerance,2.1425671558815034,2.2952970087310773,0.02787441817776548,0.02787441817776548,0.019527097767114143,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2600,2600,3,600,True,nan,nan,regret_tolerance,regret_tolerance,1.8114963997048235,1.6407596030717688,0.022456925035673758,0.010782725375690472,0.022456925035673758,nan,nan
msd,1000,50,19228123,0.5,nan,0.01,0.002,1000.0,0.5,2000,32,0.01,100,100,minibatch,0,2700,2700,3,700,True,nan,nan,regret_tolerance,regret_tolerance,1.3277038047682186,0.881398696598002,0.008845853866107922,0.008845853866107922,0.005270317273028624,nan,nan
