risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.02324008298299446,0.0002700507285282343,0.002403485101653058,0.002403485101653058,0.002354947685148212,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.0013199179550878364,8.710917040816278e-07,0.002282514254645207,0.002282514254645207,0.002214696998233845,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.0003810166500657376,7.258684381365837e-08,0.002277945028198558,0.002277945028198558,0.002209142981722756,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.00014775686097694103,1.091604498287954e-08,0.0022768662340338364,0.0022768662340338364,0.0022078110829478192,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,6.673867057674497e-05,2.2270250751756423e-09,0.0022765049031523987,0.0022765049031523987,0.002207361372582539,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,3.322334112307234e-05,5.518951976900147e-10,0.00227636008933213,0.00227636008933213,0.002207179462180686,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,1.7719544188288403e-05,1.5699112312035266e-10,0.0022762949935200005,0.0022762949935200005,0.002207097261684776,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,9.95657542057951e-06,4.9566697052844016e-11,0.002276263251203725,0.002276263251203725,0.002207057094926579,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,5.829977303789773e-06,1.6994317681351936e-11,0.0022762467909877016,0.0022762467909877016,0.002207036243286442,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,3.5304313621160606e-06,6.231972801306331e-12,0.002276237830800276,0.002276237830800276,0.0022070248884685784,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,2.1988498789121845e-06,2.4174703949960642e-12,0.0022762327564923024,0.0022762327564923024,0.0022070184593311892,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,1.4026919495070494e-06,9.837723526059434e-13,0.0022762297863773706,0.0022762297863773706,0.002207014698647536,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1200,1200,False,9.13533745894655e-07,4.1727195244416004e-13,0.0022762279983895017,0.0022762279983895017,0.0022070124370404676,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1300,1300,False,6.058532416233325e-07,1.8352907519275004e-13,0.0022762268956090237,0.0022762268956090237,0.0022070110439798563,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1400,1400,False,4.0830770364650993e-07,8.335759042854309e-14,0.0022762262008603207,0.0022762262008603207,0.0022070101677305054,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1500,1500,False,2.7915232177826246e-07,3.896300937709729e-14,0.0022762257548825104,0.0022762257548825104,0.0022070096062429823,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1600,1600,False,1.9333362530018254e-07,1.8688945335855692e-14,0.002276225463766157,0.002276225463766157,0.002207009240443647,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1700,1700,False,1.354756159762805e-07,9.176821262076315e-15,0.0022762252708554143,0.0022762252708554143,0.00220700899855536,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1800,1800,False,9.59520236599508e-08,4.603395422219878e-15,0.002276225141267907,0.002276225141267907,0.0022070088364316565,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,1900,1900,False,6.862777172744222e-08,2.3548855261369587e-15,0.002276225053130798,0.002276225053130798,0.002207008726424653,nan,nan
msd,250,20,2502123,0.5,nan,0.1,0.02,15.0,0.5,2000,16,0.001,100,100,full_batch,0,2000,2000,False,4.952932803797747e-08,1.2265771679467905e-15,0.0022762249925006306,0.0022762249925006306,0.00220700865093576,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,15.0,0.5,2000,16,0.001,100,100,full_batch,1,0,2000,False,0.016120369921769438,0.00012993316320734439,0.002276224992500908,0.002276224992500908,0.002207008650936093,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,15.0,0.5,2000,16,0.001,100,100,full_batch,1,100,2100,False,0.012297334678439556,7.561222009677606e-05,0.0022081818575537815,0.0022081818575537815,0.00212876462834094,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,15.0,0.5,2000,16,0.001,100,100,full_batch,1,200,2200,False,0.010918895331782981,5.9611137633216085e-05,0.0021841548648873776,0.0021841548648873776,0.002103465795423698,nan,nan
msd,250,20,2502123,0.5,nan,0.03,0.01,15.0,0.5,2000,16,0.001,100,100,full_batch,1,300,2300,False,0.009971590603251049,4.971630957942231e-05,0.0021678867855876582,0.0021678867855876582,0.0020861252452852863,nan,nan
