risk,K,n,rep,seed,method,status,success,censored,time_limit_s,time_s,observed_time_s,source,exit_code,status_message,gamma,alpha,epsilon,epsilon_scr,support_kappa,support_tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,stochastic_entropy_kappa,stochastic_smoothing_tau,stochastic_step_size,stochastic_step_decay,stochastic_logit_bound,stochastic_gradient_clip_norm,stochastic_record_every,stochastic_certify_every,stochastic_regret_tolerance,eta,regret1,regret2,has_profile,error,solver,candidate_index,support_eta,screen_eta,best_screen_eta,best_screen_success,best_screen_violation,best_screen_candidate_index,best_screen_message,support_violation,residual_norm,objective,iterations,best_certificate_eta,best_certificate_iteration,uncapped_success,uncapped_eta
cvar,5,5,1,1050624,stochastic_minibatch,completed,False,False,86400,265.2426755749998,265.2426755749998,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.05083619104872583,0.03878521452842043,0.05083619104872583,True,,,,nan,nan,,,,,,nan,0.7265618921085332,0.2639460915321659,1000,0.05083619104872583,1000,,
cvar,5,5,2,1050625,mcp,completed,True,False,86400,0.05372964000025604,0.05372964000025604,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,1.3322676295501878e-15,1.3322676295501878e-15,0.0,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,2,1050625,screened_dual,completed,True,False,86400,55.83013693200019,55.83013693200019,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0009500627768059822,0.000950062776805094,0.0009500627768059822,True,,,13,0.0009500627768059822,-0.09827368265942411,,,,,,6.38378239159465e-15,nan,nan,,nan,,,
cvar,5,5,2,1050625,action_dual,completed,True,False,86400,52.80792792600005,52.80792792600005,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0044732130187029595,0.0044732130187029595,0.004473212854345543,True,,,21,0.0044732130187029595,nan,,,,,,3.032829543059279e-11,nan,nan,,nan,,,
cvar,5,5,2,1050625,restricted_mcp,completed,True,False,86400,0.9046267679996163,0.9046267679996163,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.00930707230640887,0.00930707230640887,0.006650764489864014,True,,pathampl,21,0.00930707230640887,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,2,1050625,stochastic_full_batch,completed,False,False,86400,262.51101210299976,262.51101210299976,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.042797177573904055,0.042797177573904055,0.010245057350259934,True,,,,nan,nan,,,,,,nan,0.7080225229300994,0.25064794648815153,1000,0.042797177573904055,1000,,
cvar,5,5,2,1050625,stochastic_minibatch,completed,False,False,86400,261.3399440449998,261.3399440449998,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.04443845725958384,0.04443845725958384,0.010273829340669505,True,,,,nan,nan,,,,,,nan,0.7083257520095788,0.25086268547996765,1000,0.04443845725958384,1000,,
cvar,5,5,3,1050626,mcp,completed,True,False,86400,0.04539750899994033,0.04539750899994033,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,1.677880057115999e-12,1.677880057115999e-12,1.800781745942004e-13,True,,pathampl,,nan,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,3,1050626,screened_dual,completed,True,False,86400,17.545974720999766,17.545974720999766,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.006703620344729266,0.006703620344729266,0.006703620344539196,True,,,2,0.006703620344729266,-0.020676664735873145,,,,,,2.596811654598241e-13,nan,nan,,nan,,,
cvar,5,5,3,1050626,action_dual,completed,True,False,86400,0.09526007800013758,0.09526007800013758,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,,1,0.0,nan,,,,,,6.783462680459706e-14,nan,nan,,nan,,,
cvar,5,5,3,1050626,restricted_mcp,completed,True,False,86400,0.039155711000148585,0.039155711000148585,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.0,0.0,0.0,True,,pathampl,1,0.0,nan,,,,,,nan,nan,nan,,nan,,,
cvar,5,5,3,1050626,stochastic_full_batch,completed,False,False,86400,270.5761740990001,270.5761740990001,legacy_reused,,,0.5,0.5,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,1000,3,0.1,0.02,1.0,0.5,20.0,,0,100,0.001,0.040295892149962986,0.040295892149962986,0.03326676029765918,True,,,,nan,nan,,,,,,nan,0.22242052944489854,0.024735445959274488,1000,0.040295892149962986,300,,
