risk,K,n,rep,seed,method,status,success,censored,time_limit_s,time_s,observed_time_s,source,exit_code,status_message,payoff_model,payoff_populations,payoff_population_ids,payoff_numpy_version,gamma,alpha,epsilon,epsilon_scr,support_kappa,support_tau,max_candidates,n_screen_starts,n_support_starts,screen_maxiter,support_maxiter,stochastic_max_iter,stochastic_minibatch_size,stochastic_entropy_kappa,stochastic_smoothing_tau,stochastic_step_size,stochastic_theta_step_size,stochastic_step_decay,stochastic_logit_bound,stochastic_gradient_clip_norm,stochastic_record_every,stochastic_certify_every,stochastic_regret_tolerance,stochastic_n_random_starts,stochastic_stagnation_window,stochastic_stagnation_rtol,stochastic_stagnation_atol,stochastic_jit_updates,profile_artifact,eta,regret1,regret2,has_profile,error,solver,candidate_index,support_eta,screen_eta,best_screen_eta,best_screen_success,best_screen_violation,best_screen_candidate_index,best_screen_message,support_violation,residual_norm,objective,iterations,best_certificate_eta,best_certificate_iteration,profiles_checked,total_profiles,total_pairs,screen_rejections,screen_passes,best_response_solves,sampling_seed,termination_reason,starts_attempted,selected_start,start_summaries,uncapped_success,uncapped_eta
msd,5,5,3,50626,stochastic_full_batch,completed,True,False,86400,3.6963921480000863,3.6963921480000863,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep003__stochastic_full_batch__msd_K5_n5_seed50626__stochastic_full_batch.json,0.009906553655541495,0.009906553655541495,0.0020545200939595665,True,,,,nan,nan,nan,,nan,,,nan,0.059794379946286044,0.0017876839365804074,700,0.009906553655541495,700,,,,,,,,regret_tolerance,2,1,"[{""start_index"": 0, ""seed"": 50626, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.015751117933522907, ""success"": false, ""iterations"": 600, ""time_s"": 3.2449575489999916, ""termination_reason"": ""stagnation""}, {""start_index"": 1, ""seed"": 2279671165, ""initial_x"": [0.09090610585487792, 0.3642907797932737, 0.126035764845123, 0.08611191715709196, 0.3326554323496334], ""initial_y"": [0.803897768444975, 0.024420161382791475, 0.10989760894535339, 0.010620413694796658, 0.051164047532083506], ""eta"": 0.009906553655541495, ""success"": true, ""iterations"": 100, ""time_s"": 0.4507733670000107, ""termination_reason"": ""regret_tolerance""}]",,
msd,5,5,3,50626,stochastic_minibatch,completed,True,False,86400,5.9626437570000235,5.9626437570000235,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep003__stochastic_minibatch__msd_K5_n5_seed50626__stochastic_minibatch.json,0.00432617132312807,0.00432617132312807,8.714598512138405e-05,True,,,,nan,nan,nan,,nan,,,nan,0.11658045719062587,0.006795501499387676,2300,0.00432617132312807,2300,,,,,,,,regret_tolerance,4,3,"[{""start_index"": 0, ""seed"": 50626, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.012089809785674088, ""success"": false, ""iterations"": 600, ""time_s"": 3.547397986999954, ""termination_reason"": ""stagnation""}, {""start_index"": 1, ""seed"": 2279671165, ""initial_x"": [0.09090610585487792, 0.3642907797932737, 0.126035764845123, 0.08611191715709196, 0.3326554323496334], ""initial_y"": [0.803897768444975, 0.024420161382791475, 0.10989760894535339, 0.010620413694796658, 0.051164047532083506], ""eta"": 0.01130006051039445, ""success"": false, ""iterations"": 700, ""time_s"": 0.7803290670000251, ""termination_reason"": ""stagnation""}, {""start_index"": 2, ""seed"": 524202800, ""initial_x"": [0.15648599110520953, 0.30358716647194367, 0.2212410824342771, 0.007257637671390816, 0.31142812231717887], ""initial_y"": [0.1927558699135633, 0.19437622738321306, 0.45167123706436385, 0.12839107731638097, 0.0328055883224787], ""eta"": 0.01088139152234524, ""success"": false, ""iterations"": 900, ""time_s"": 1.044081387999995, ""termination_reason"": ""stagnation""}, {""start_index"": 3, ""seed"": 2284150684, ""initial_x"": [0.3452190320379882, 0.30571838771037574, 0.060616420143254204, 0.21983615098385387, 0.0686100091245281], ""initial_y"": [0.6439402391494777, 0.14315788985591502, 0.19081102397480815, 0.0044197889824396375, 0.01767105803735934], ""eta"": 0.00432617132312807, ""success"": true, ""iterations"": 100, ""time_s"": 0.5894480529999555, ""termination_reason"": ""regret_tolerance""}]",,
msd,5,5,4,50627,qptas_screened,completed,False,False,86400,0.06334822899998471,0.06334822899998471,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,,,,,,,,,,,,,,,,,,profiles/msd_K5_n5_rep004__qptas_screened__msd_K5_n5_seed50627__qptas_screened.json,nan,nan,nan,False,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,1000,1225,19448100,1000,0,0,50627,sample_exhausted,,,,,
msd,5,5,4,50627,stochastic_full_batch,completed,True,False,86400,6.6218716009999525,6.6218716009999525,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep004__stochastic_full_batch__msd_K5_n5_seed50627__stochastic_full_batch.json,0.009829000024260903,0.00961937360233378,0.009829000024260903,True,,,,nan,nan,nan,,nan,,,nan,0.05659135630211594,0.0016012908040565186,4700,0.009829000024260903,4700,,,,,,,,regret_tolerance,4,3,"[{""start_index"": 0, ""seed"": 50627, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.010627738075336235, ""success"": false, ""iterations"": 2000, ""time_s"": 3.643280602999994, ""termination_reason"": ""max_iter""}, {""start_index"": 1, ""seed"": 1041340435, ""initial_x"": [0.03677825601027785, 0.0991970690257378, 0.08972578486633516, 0.032281068768817846, 0.7420178213288314], ""initial_y"": [0.32196833152444526, 0.2739931614277833, 0.004766336755116321, 0.26129450402936194, 0.13797766626329316], ""eta"": 0.04008878583271425, ""success"": false, ""iterations"": 1000, ""time_s"": 1.0865402040000163, ""termination_reason"": ""stagnation""}, {""start_index"": 2, ""seed"": 3112241333, ""initial_x"": [0.21274703648835874, 0.3387054063735742, 0.13169926625387401, 0.17934464144880768, 0.13750364943538534], ""initial_y"": [0.5611495987207048, 0.05725060851651207, 0.28204471406269455, 0.013802884122219776, 0.08575219457786896], ""eta"": 0.015415704074146164, ""success"": false, ""iterations"": 900, ""time_s"": 0.9878869220000297, ""termination_reason"": ""stagnation""}, {""start_index"": 3, ""seed"": 809658587, ""initial_x"": [0.08083856071020071, 0.2539183437863562, 0.15789100862431962, 0.3539012494252178, 0.1534508374539057], ""initial_y"": [0.10865259381138882, 0.582181687578811, 0.06285432546529704, 0.07653037709882884, 0.16978101604567436], ""eta"": 0.009829000024260903, ""success"": true, ""iterations"": 800, ""time_s"": 0.9029564509999091, ""termination_reason"": ""regret_tolerance""}]",,
msd,5,5,4,50627,stochastic_minibatch,completed,False,False,86400,7.20391931100005,7.20391931100005,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep004__stochastic_minibatch__msd_K5_n5_seed50627__stochastic_minibatch.json,0.022581544495624772,0.0175860965378396,0.022581544495624772,True,,,,nan,nan,nan,,nan,,,nan,0.13686057994368803,0.00936540917126131,4300,0.022581544495624772,300,,,,,,,,stagnation,5,0,"[{""start_index"": 0, ""seed"": 50627, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.022581544495624772, ""success"": false, ""iterations"": 800, ""time_s"": 3.3885619000000133, ""termination_reason"": ""stagnation""}, {""start_index"": 1, ""seed"": 1041340435, ""initial_x"": [0.03677825601027785, 0.0991970690257378, 0.08972578486633516, 0.032281068768817846, 0.7420178213288314], ""initial_y"": [0.32196833152444526, 0.2739931614277833, 0.004766336755116321, 0.26129450402936194, 0.13797766626329316], ""eta"": 0.02436497383735342, ""success"": false, ""iterations"": 900, ""time_s"": 1.0914982770000279, ""termination_reason"": ""stagnation""}, {""start_index"": 2, ""seed"": 3112241333, ""initial_x"": [0.21274703648835874, 0.3387054063735742, 0.13169926625387401, 0.17934464144880768, 0.13750364943538534], ""initial_y"": [0.5611495987207048, 0.05725060851651207, 0.28204471406269455, 0.013802884122219776, 0.08575219457786896], ""eta"": 0.059646505441958486, ""success"": false, ""iterations"": 1300, ""time_s"": 1.067589623999993, ""termination_reason"": ""stagnation""}, {""start_index"": 3, ""seed"": 809658587, ""initial_x"": [0.08083856071020071, 0.2539183437863562, 0.15789100862431962, 0.3539012494252178, 0.1534508374539057], ""initial_y"": [0.10865259381138882, 0.582181687578811, 0.06285432546529704, 0.07653037709882884, 0.16978101604567436], ""eta"": 0.06733178082291336, ""success"": false, ""iterations"": 700, ""time_s"": 0.8304947770000126, ""termination_reason"": ""stagnation""}, {""start_index"": 4, ""seed"": 303085467, ""initial_x"": [0.269196467640551, 0.5260927815979308, 0.009017289468625397, 0.19182695815813616, 0.0038665031347567477], ""initial_y"": [0.08958332462134838, 0.45897377464192507, 0.07909716585240549, 0.08190783658497812, 0.290437898299343], ""eta"": 0.04432349120858187, ""success"": false, ""iterations"": 600, ""time_s"": 0.8243797809999478, ""termination_reason"": ""stagnation""}]",,
msd,5,5,5,50628,qptas_screened,completed,False,False,86400,0.13015366800004813,0.13015366800004813,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,,,,,,,,,,,,,,,,,,profiles/msd_K5_n5_rep005__qptas_screened__msd_K5_n5_seed50628__qptas_screened.json,nan,nan,nan,False,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,1000,1225,19448100,1000,0,0,50628,sample_exhausted,,,,,
msd,5,5,5,50628,stochastic_full_batch,completed,True,False,86400,2.908265924000034,2.908265924000034,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep005__stochastic_full_batch__msd_K5_n5_seed50628__stochastic_full_batch.json,0.005072394636157829,0.005072394636157829,0.0036798162059871187,True,,,,nan,nan,nan,,nan,,,nan,0.06293572323995149,0.001980452629867885,100,0.005072394636157829,100,,,,,,,,regret_tolerance,1,0,"[{""start_index"": 0, ""seed"": 50628, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.005072394636157829, ""success"": true, ""iterations"": 100, ""time_s"": 2.907896728999958, ""termination_reason"": ""regret_tolerance""}]",,
msd,5,5,5,50628,stochastic_minibatch,completed,True,False,86400,3.6055787779999946,3.6055787779999946,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep005__stochastic_minibatch__msd_K5_n5_seed50628__stochastic_minibatch.json,0.0032504664311592824,0.0012393041323562337,0.0032504664311592824,True,,,,nan,nan,nan,,nan,,,nan,0.0754028760394464,0.00284279685751006,200,0.0032504664311592824,200,,,,,,,,regret_tolerance,1,0,"[{""start_index"": 0, ""seed"": 50628, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.0032504664311592824, ""success"": true, ""iterations"": 200, ""time_s"": 3.605158357999926, ""termination_reason"": ""regret_tolerance""}]",,
msd,5,5,6,50629,qptas_screened,completed,False,False,86400,0.1468674469999769,0.1468674469999769,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,,,,,,,,,,,,,,,,,,profiles/msd_K5_n5_rep006__qptas_screened__msd_K5_n5_seed50629__qptas_screened.json,nan,nan,nan,False,,highs,,nan,nan,nan,,nan,,,nan,nan,nan,,nan,,1000,1225,19448100,1000,0,0,50629,sample_exhausted,,,,,
msd,5,5,6,50629,stochastic_full_batch,completed,True,False,86400,3.531364503999953,3.531364503999953,capped_run,,,uniform,,,2.5.3,0.5,nan,0.01,0.006666666666666667,3,5,1000,3,20,1000,1000,2000,3,0.01,0.002,1000.0,,0.5,20.0,,0,100,0.01,4,500,0.005,1e-05,True,profiles/msd_K5_n5_rep006__stochastic_full_batch__msd_K5_n5_seed50629__stochastic_full_batch.json,0.009026029493968357,0.009026029493968357,4.3872597743632724e-07,True,,,,nan,nan,nan,,nan,,,nan,0.05341650522038243,0.0014266615149795716,400,0.009026029493968357,400,,,,,,,,regret_tolerance,1,0,"[{""start_index"": 0, ""seed"": 50629, ""initial_x"": [0.2, 0.2, 0.2, 0.2, 0.2], ""initial_y"": [0.2, 0.2, 0.2, 0.2, 0.2], ""eta"": 0.009026029493968357, ""success"": true, ""iterations"": 400, ""time_s"": 3.5309475389999534, ""termination_reason"": ""regret_tolerance""}]",,
