K,n,seed,gamma,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,5,50623,0.5,0.01,3,5,9.673500624950975,True,0.0033410127540486334,0.04220254207029939,True,4.884537219140839e-12
5,5,50624,0.5,0.01,3,5,221.35326141677797,False,0.031654258311644035,0.037049958016723394,True,3.3306690738754696e-16
5,5,50625,0.5,0.01,3,5,161.4489031659905,False,0.015930233897819057,0.03718700003810227,True,1.1102230246251565e-15
5,5,50626,0.5,0.01,3,5,0.11718520894646645,True,5.10702591327572e-15,0.03706054110080004,True,1.3322676295501878e-15
5,5,50627,0.5,0.01,3,5,211.35661895899102,False,0.02010270567864092,0.03939704108051956,True,2.573241619785449e-11
5,5,50628,0.5,0.01,3,5,77.38025245908648,True,0.006268146963101406,0.04041254101321101,True,4.996003610813204e-16
5,5,50629,0.5,0.01,3,5,0.20611479110084474,True,3.3306690738754696e-16,0.037670375080779195,True,4.440892098500626e-16
5,5,50630,0.5,0.01,3,5,0.12309804209508002,True,0.0013476765655562328,0.04029116709716618,True,2.220446049250313e-16
