risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.024461749089741386,0.00029918858426473174,0.0030350506921747455,0.002437488847483238,0.0030350506921747455,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.011121574214451624,6.184470650377763e-05,0.0029094479598996137,0.00235502598831977,0.0029094479598996137,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.007850245553206549,3.0813177622819595e-05,0.0028795638028873416,0.002335072165236818,0.0028795638028873416,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.006010442178037905,1.8062707587768517e-05,0.00286292356861223,0.002324074982245017,0.00286292356861223,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,0.004799851330611335,1.1519286397985703e-05,0.0028520878655923787,0.0023169209057914975,0.0028520878655923787,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,0.003937771367864784,7.753021672787847e-06,0.002844433516101308,0.002311824387416006,0.002844433516101308,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,0.003292979925187027,5.421858393842379e-06,0.0028387495697808074,0.0023080460368709033,0.0028387495697808074,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,0.002794032924609842,3.903309991901913e-06,0.0028343802224417014,0.0023051489122724034,0.0028343802224417014,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,0.002398095062192285,2.8754299636555095e-06,0.0028309342064536946,0.002302867503778838,0.0028309342064536946,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,0.0020776984871781444,2.158415501811175e-06,0.002828161777978455,0.002301034397741264,0.002828161777978455,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,0.0018143300674026345,1.6458967967406242e-06,0.002825895344410967,0.0022995375066353074,0.002825895344410967,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,0.0015950218048791588,1.2720472790199846e-06,0.0028240429130467204,0.0022982987931639554,0.0028240429130467204,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1200,1200,False,0.0014104059000588267,9.946224014603745e-07,0.0028225030542868845,0.002297262202590966,0.0028225030542868845,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1300,1300,False,0.0012535424576366084,7.856843465488141e-07,0.0028212012321124913,0.002296386427179109,0.0028212012321124913,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1400,1400,False,0.0011191807929011538,6.262828235994276e-07,0.0028200915721160458,0.0022956403691303806,0.0028200915721160458,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1500,1500,False,0.0010032765843976858,5.032819524003434e-07,0.00281913887081342,0.0022950001885140847,0.00281913887081342,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1600,1600,False,0.0009026663921098371,4.074033077222951e-07,0.0028183156918339947,0.002294447321898374,0.0028183156918339947,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1700,1700,False,0.0008148424175945778,3.3198408275568814e-07,0.002817600361954553,0.0022939671168105136,0.002817600361954553,nan,nan
msd,250,20,2502125,0.5,nan,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1800,1800,False,0.0007377930598661524,2.7216929959333e-07,0.0028169755563363097,0.0022935478688526634,0.0028169755563363097,nan,nan
