risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.027069322486470197,0.0003663741099382605,0.0032134238789102154,0.001647539190732239,0.0032134238789102154,0.4989788236249419,0.49856093068264457
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.7073033551867798,0.250139018129238,0.003024656863061692,0.001631609253681443,0.003024656863061692,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.7072088186572105,0.25007215659326365,0.0029738534150091644,0.001627994306064251,0.0029738534150091644,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.7071684898696087,0.25004363653223144,0.002944997541643457,0.0016257438064857244,0.002944997541643457,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,0.707147175133406,0.250028563649578,0.002925859811400644,0.0016244576413212974,0.002925859811400644,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,0.7071345960527704,0.2500196684673574,0.0029121359691876014,0.0016233560839764571,0.0029121359691876014,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,0.707126636183532,0.2500140398001186,0.0029018146406881162,0.0016224011838437136,0.0029018146406881162,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,0.7071213463721221,0.25001029924756135,0.00289395492599015,0.0016216277110450705,0.00289395492599015,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,0.7071176994202354,0.2500077204166832,0.0028877295494660338,0.0016210277508588167,0.0028877295494660338,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,0.7071151116125572,0.25000589053541966,0.002882673967638638,0.0016205328884679737,0.002882673967638638,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,0.707113231987608,0.2500045614259804,0.0028785049802318996,0.0016201159033765733,0.0028785049802318996,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,0.707111840015514,0.25000357714506294,0.0028750234356105797,0.0016197622497248765,0.0028750234356105797,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1200,1200,False,0.7071107921095098,0.2500028361588692,0.002872084950721332,0.001619459919980526,0.002872084950721332,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1300,1300,False,0.7071099919942695,0.2500022703890679,0.0028695822040739616,0.0016192018131453434,0.0028695822040739616,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1400,1400,False,0.7071093735004549,0.2500018330461029,0.0028674337428670205,0.0016189815385055928,0.0028674337428670205,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1500,1500,False,0.7071088901777135,0.25000149128417887,0.00286557664480791,0.0016188002397047319,0.00286557664480791,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1600,1600,False,0.7071085088145204,0.25000122161894733,0.002863961557395045,0.0016186396262288794,0.002863961557395045,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1700,1700,False,0.7071082052799886,0.2500010069871433,0.0028625492556455523,0.0016184966474774853,0.0028625492556455523,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1800,1800,False,0.7071079617897156,0.25000083481320295,0.0028613081990133127,0.001618368813259885,0.0028613081990133127,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,1900,1900,False,0.7071077650691036,0.25000069571051126,0.0028602127630203977,0.001618254070316405,0.0028602127630203977,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.1,0.02,4.0,0.5,2000,16,0.001,100,100,full_batch,0,2000,2000,False,0.7071076050959927,0.2500005825922952,0.002859241936897683,0.0016181507104177095,0.002859241936897683,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,0,2000,False,0.7075121352651073,0.2502867107736957,0.002859241936897572,0.001618150710417543,0.002859241936897572,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,100,2100,False,0.7074625245433088,0.25025161181659594,0.002799253296460802,0.0016151772237532613,0.002799253296460802,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,200,2200,False,0.7074425281860249,0.25023746534311736,0.002774160785539548,0.001613900036056437,0.002774160785539548,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,300,2300,False,0.7074279647233722,0.2502271626363264,0.002755736077954374,0.0016131445295556879,0.002755736077954374,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,400,2400,False,0.7074161911233475,0.25021883373173226,0.0027405470459476167,0.0016126770039648353,0.0027405470459476167,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,500,2500,False,0.7074061857787496,0.2502117558390194,0.002727421186179968,0.0016122648317333232,0.002727421186179968,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,600,2600,False,0.7073974263087409,0.25020555937411526,0.0027157573174809713,0.0016117556875593908,0.0027157573174809713,-0.5436063241105749,5.883484170600674
cvar,250,20,3502123,0.5,0.5,0.03,0.01,4.0,0.5,2000,16,0.001,100,100,full_batch,1,700,2700,False,0.7073896034054485,0.25020002550305886,0.0027052008908938774,0.0016112561436303907,0.0027052008908938774,-0.5436063241105749,5.883484170600674
