risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,300,300,0,300,True,nan,nan,max_iter,,0.7102509714239981,0.25222822120436644,0.019784782212865726,0.017610208482644163,0.019784782212865726,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,400,400,0,400,True,nan,nan,max_iter,,0.7096602404911919,0.2518088284670082,0.017997751246999094,0.017997751246999094,0.017874169951893615,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,500,500,0,500,True,nan,nan,max_iter,,0.7092881316669222,0.25154482686177654,0.018271838575287358,0.018271838575287358,0.016730200011283447,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,600,600,0,600,True,nan,nan,max_iter,,0.7090329738412068,0.2513638789970527,0.018469772874121326,0.018469772874121326,0.016037252416918557,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,700,700,0,700,True,nan,nan,max_iter,,0.708847278604925,0.2512322321928041,0.018620663433365325,0.018620663433365325,0.015575445994791659,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,800,800,0,800,True,nan,nan,max_iter,,0.708705985343822,0.25113208683107885,0.01871351552812328,0.01871351552812328,0.015264887439587649,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,900,900,0,900,True,nan,nan,max_iter,,0.7085946549191179,0.2510531924899719,0.018753592773680272,0.018753592773680272,0.015037180577540221,-1380.8985903661178,-1580.5114268487478
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,900,900,1,0,True,nan,nan,max_iter,,0.46515829999354236,0.10818612202644118,0.09179512973010284,0.04625022260939493,0.09179512973010284,0.511664749636003,0.47731164364602985
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1000,1000,1,100,True,nan,nan,max_iter,,0.8293056974799347,0.34387396993634045,0.03807482722604938,0.03807482722604938,0.015327617733246202,-886.0608995628917,-2899.6101511843535
cvar,1000,50,20428124,0.5,0.5,0.01,0.002,500.0,500.0,0.5,2000,32,0.01,100,100,full_batch,0,1100,1100,1,200,True,nan,nan,max_iter,,0.7469859049155265,0.278993971071234,0.021626893193166685,0.0113384435285947,0.021626893193166685,-886.0608995628917,-2899.6101511843535
