risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,0,0,False,0.02680310727255309,0.0003592032797319942,0.002284199055870628,0.002284199055870628,0.001661849065284382,0.49931001670264913,0.5015181159864377
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,100,100,False,0.7074813507645742,0.25026493083983326,0.0021972076907790794,0.0021972076907790794,0.0016540018683534052,2.3600333436205245,-0.24414093783182098
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,200,200,False,0.7073773041012409,0.25019132517876974,0.00216554417692727,0.00216554417692727,0.0016502247347728316,2.3600333436205245,-0.24414093783178584
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,300,300,False,0.707317578783468,0.25014907862805374,0.0021451275066226017,0.0021451275066226017,0.001647362660034568,2.3600333436205245,-0.24414093783175886
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,400,400,False,0.7072776311944797,0.2501208237940372,0.002130211197235332,0.002130211197235332,0.0016458413860823695,2.3600333436205245,-0.24414093783173596
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,500,500,False,0.7072487802934195,0.2501004186132648,0.0021183775927609005,0.0021183775927609005,0.0016447447878548127,2.3600333436205245,-0.24414093783171606
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,600,600,False,0.7072269284905239,0.25008496419107035,0.0021086327929103477,0.0021086327929103477,0.001643820872969881,2.3600333436205245,-0.24414093783169788
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,700,700,False,0.7072098247606267,0.2500728681189781,0.0021004331806038223,0.0021004331806038223,0.0016430056715635022,2.3600333436205245,-0.24414093783168123
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,800,800,False,0.7071961079915622,0.25006316757920666,0.0020935159179971685,0.0020935159179971685,0.001642276329052783,2.3600333436205245,-0.24414093783166524
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,900,900,False,0.707184898305835,0.2500552401959171,0.002087492937181412,0.002087492937181412,0.0016415672411558835,2.3600333436205245,-0.24414093783165136
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,1000,1000,False,0.7071755980671447,0.2500486632508119,0.0020821885368351167,0.0020821885368351167,0.0016408501778341633,2.3600333436205245,-0.24414093783163748
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,1100,1100,False,0.70716778551873,0.2500431384377323,0.0020774733593321715,0.0020774733593321715,0.0016401951328360864,2.3600333436205245,-0.2441409378316236
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,1200,1200,False,0.7071611537971628,0.2500384487198673,0.002073249348906181,0.002073249348906181,0.0016395776196829748,2.3600333436205245,-0.24414093783161084
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,1300,1300,False,0.7071554739863993,0.25003443219446453,0.0020694403902246084,0.0020694403902246084,0.0016390051016101914,2.3600333436205245,-0.24414093783159974
cvar,250,20,3502124,0.5,0.5,0.1,0.02,2.0,0.5,2000,16,0.001,100,100,full_batch,0,1400,1400,False,0.7071505717206124,0.25003096554239446,0.002065986220872007,0.002065986220872007,0.0016384732160140691,2.3600333436205245,-0.24414093783158863
