risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,selected_stage,residual_norm,objective,eta,regret1,regret2,theta1,theta2
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,0,0,False,0.0321919961189557,0.0005181623070614294,0.005036118438292769,0.005036118438292769,0.0029653835430576425,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,100,100,False,0.014838031784485657,0.0001100835936187033,0.004823002801111254,0.004823002801111254,0.0028551116789872766,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,200,200,False,0.010571577887672115,5.587912951755901e-05,0.004773814347244776,0.004773814347244776,0.002834136949605215,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,300,300,False,0.008162166428488122,3.331048040316927e-05,0.004746848370832113,0.004746848370832113,0.0028235247429121424,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,400,400,False,0.0065697592963947,2.158086860628229e-05,0.004729511335684833,0.004729511335684833,0.002817106421926341,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,500,500,False,0.005430612054069392,1.4745773640901889e-05,0.004717405343657333,0.004717405343657333,0.002812861659256871,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,600,600,False,0.004574634128712759,1.0463638705791774e-05,0.004708481374925355,0.004708481374925355,0.0028099360625620795,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,700,700,False,0.0039091577284965685,7.640757073132225e-06,0.004701666681084293,0.004701666681084293,0.0028078191545529707,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,800,800,False,0.0033785697239402746,5.707366689762931e-06,0.004696324848374345,0.004696324848374345,0.002806274152293675,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,900,900,False,0.002947166720699494,4.342895839799305e-06,0.004692051726672253,0.004692051726672253,0.002805097200248019,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1000,1000,False,0.0025908522369571594,3.3562576568729586e-06,0.004688577380346504,0.004688577380346504,0.002804188307136357,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1100,1100,False,0.002292721732444763,2.6282864712122576e-06,0.004685714337548164,0.004685714337548164,0.002803476675545369,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1200,1200,False,0.0020405435927582445,2.0819090769733622e-06,0.004683328271998299,0.004683328271998299,0.0028029135923943738,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1300,1300,False,0.0018252402980308891,1.6657510727779445e-06,0.004681320446093817,0.004681320446093817,0.002802464238689628,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1400,1400,False,0.0016399309478047762,1.3446867567839358e-06,0.004679616716142698,0.004679616716142698,0.0028021031730848245,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1500,1500,False,0.0014793050768592865,1.0941717552108299e-06,0.004678160388209118,0.004678160388209118,0.0028018114573525876,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1600,1600,False,0.0013392002941530008,8.967287139297419e-07,0.004676907429833843,0.004676907429833843,0.0028015747678946656,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1700,1700,False,0.0012163097998892686,7.397047646533363e-07,0.004675823174794536,0.004675823174794536,0.002801382121052187,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1800,1800,False,0.0011079751839532278,6.138045041280946e-07,0.00467488000299926,0.00467488000299926,0.0028012249924116994,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,1900,1900,False,0.0010120366967113531,5.121091377452137e-07,0.004674055674095734,0.004674055674095734,0.002801096695827232,nan,nan
msd,100,20,1002124,0.5,nan,0.1,0.02,4.0,0.5,2000,10,0.001,100,100,full_batch,0,2000,2000,False,0.0009267231419358881,4.294078908997621e-07,0.004673332109415951,0.004673332109415951,0.0028009919376616454,nan,nan
msd,100,20,1002124,0.5,nan,0.03,0.01,4.0,0.5,2000,10,0.001,100,100,full_batch,1,0,2000,False,0.02271481734595891,0.0002579814635301379,0.004673332109415729,0.004673332109415729,0.0028009919376614234,nan,nan
msd,100,20,1002124,0.5,nan,0.03,0.01,4.0,0.5,2000,10,0.001,100,100,full_batch,1,100,2100,False,0.020995900038619637,0.00022041390921585403,0.004601294614741069,0.004601294614741069,0.0027739427831819374,nan,nan
msd,100,20,1002124,0.5,nan,0.03,0.01,4.0,0.5,2000,10,0.001,100,100,full_batch,1,200,2200,False,0.020282059521686515,0.0002056809692206173,0.004571682219975781,0.004571682219975781,0.0027643438944952026,nan,nan
msd,100,20,1002124,0.5,nan,0.03,0.01,4.0,0.5,2000,10,0.001,100,100,full_batch,1,300,2300,False,0.019753663388433988,0.00019510360863177868,0.004549879969748871,0.004549879969748871,0.0027574808957051,nan,nan
msd,100,20,1002124,0.5,nan,0.03,0.01,4.0,0.5,2000,10,0.001,100,100,full_batch,1,400,2400,False,0.019320894804564614,0.00018664848802452596,0.004532099130101441,0.004532099130101441,0.0027519848624070753,nan,nan
