K,n,seed,gamma,alpha,eps,kappa,tau,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
5,5,50623,0.5,0.05,0.01,3,5,2038.644749250263,False,0.011256796669271818,0.09423174988478422,True,1.0730472066455832e-11
5,5,50624,0.5,0.05,0.01,3,5,342.9884660001844,True,0.009086073896701685,0.11836562491953373,True,2.220446049250313e-16
5,5,50625,0.5,0.05,0.01,3,5,64.52474454184994,True,0.00934999819205995,0.09454441582784057,True,-4.946210108158766e-12
5,5,50626,0.5,0.05,0.01,3,5,2074.513476875145,False,0.010447111830691469,0.09349337499588728,True,-8.223866032608385e-12
5,5,50627,0.5,0.05,0.01,3,5,1718.9180016247556,False,0.013096617191381887,0.13457116577774286,True,-2.0974333381218457e-12
5,5,50628,0.5,0.05,0.01,3,5,382.10959291737527,True,0.0022932962719738326,0.10204879101365805,True,-9.789169475027393e-12
5,5,50629,0.5,0.05,0.01,3,5,35.274875125382096,True,0.009532478535513977,0.11294670915231109,True,-1.6155965454345278e-12
5,5,50630,0.5,0.05,0.01,3,5,62.402945457957685,True,2.2956347933700272e-10,0.11770620895549655,True,4.440892098500626e-16
5,5,50631,0.5,0.05,0.01,3,5,134.8253304171376,True,0.0025244747323474037,0.09730041725561023,True,-2.422617662034554e-11
5,5,50632,0.5,0.05,0.01,3,5,19.366610459052026,True,0.004341271567049665,0.13756895903497934,True,1.9984014443252818e-15
5,5,50633,0.5,0.05,0.01,3,5,1985.2166252089664,False,0.019393751539088067,0.0778808337636292,True,-1.7100321159091436e-11
5,5,50634,0.5,0.05,0.01,3,5,8.726242042146623,True,0.006041271536042725,0.1257555829361081,True,-3.480549182199866e-13
5,5,50635,0.5,0.05,0.01,3,5,192.46593729173765,True,0.00848104677723105,0.1438293750397861,True,3.3306690738754696e-16
5,5,50636,0.5,0.05,0.01,3,5,1966.466712874826,False,0.02719356745418483,0.06216308427974582,True,4.2007108902453183e-10
5,5,50637,0.5,0.05,0.01,3,5,326.31024333415553,True,0.0011084688116422825,0.10419899970293045,True,1.6653345369377348e-15
5,5,50638,0.5,0.05,0.01,3,5,29.793481125030667,True,0.002472225232082792,0.1453741672448814,True,2.886579864025407e-15
