risk,K,n,seed,gamma,alpha,entropy_kappa,smoothing_tau,step_size,theta_step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,continuation_stage,stage_iteration,iteration,start_index,start_iteration,selected_stage,stage_improvement,stage_relative_improvement,stage_termination_reason,continuation_stop_reason,residual_norm,objective,eta,regret1,regret2,theta1,theta2
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2000,2000,2,500,True,nan,nan,stagnation,,0.7372551856592283,0.2717726043907116,0.03426768091651511,0.03426768091651511,0.03258848356094801,0.4999841540183239,0.5104523438999373
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2100,2100,2,600,True,nan,nan,stagnation,,0.7249934427192489,0.2628077459929544,0.02936941363361445,0.024077875786014613,0.02936941363361445,0.49998819271417927,0.5104565824415707
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2200,2200,2,700,True,nan,nan,stagnation,,0.7149425348414077,0.2555714140627287,0.025839792939084116,0.023596635695309343,0.025839792939084116,0.49999254588749437,0.5104604264252743
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2300,2300,2,800,True,nan,nan,stagnation,,0.7105950612858861,0.2524726705619461,0.026617860703379903,0.022509150258968047,0.026617860703379903,0.4999965903874451,0.510463120522507
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2400,2400,2,900,True,nan,nan,stagnation,,0.7075508801102147,0.25031412397236974,0.026235529397258484,0.02290955868411204,0.026235529397258484,0.5000008298690204,0.5104654388897547
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2500,2500,2,1000,True,nan,nan,stagnation,,0.7053316734823404,0.2487463848086994,0.026113032241978806,0.0219781141852875,0.026113032241978806,0.5000046344264076,0.5104674783727347
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2600,2600,2,1100,True,nan,nan,stagnation,,0.7039491963823095,0.24777223554364963,0.025822429528690738,0.021349963618985,0.025822429528690738,0.5000079791135417,0.5104694256312204
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2700,2700,2,1200,True,nan,nan,stagnation,,0.7030038243532953,0.24710718852767946,0.025457878639471354,0.020869087191345614,0.025457878639471354,0.5000110077921475,0.5104713104704829
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2800,2800,2,1300,True,nan,nan,stagnation,,0.702356353292454,0.24665222350513727,0.025059142121846012,0.02054354434206984,0.025059142121846012,0.5000138153856011,0.5104731428071652
cvar,500,50,15328123,0.5,0.5,0.01,0.002,500.0,1e-05,0.5,2000,23,0.01,100,100,full_batch,0,2900,2900,2,1400,True,nan,nan,stagnation,,0.7018960783454162,0.24632905239833733,0.024749944882439423,0.020020293151564283,0.024749944882439423,0.5000164763976608,0.5104749269837091
