K,n,seed,gamma,entropy_kappa,smoothing_tau,step_size,step_decay,max_iter,minibatch_size,regret_tolerance,record_every,certify_every,method,iteration,residual_norm,objective,eta,regret1,regret2
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,0,0.06938924242737485,0.002407433482322499,0.014194061668509617,0.013391379516060287,0.014194061668509617
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,25,0.06893059522925567,0.002375713479329742,0.01416928480674745,0.013363419995735148,0.01416928480674745
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,50,0.06871366461866117,0.002360783852662924,0.01415758295714914,0.013350184718968372,0.01415758295714914
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,75,0.06854732520987408,0.0023493678967141194,0.014148617500863214,0.013340031289691412,0.014148617500863214
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,100,0.06840733927648102,0.002339782033443791,0.014141455427769012,0.013331749578785135,0.014141455427769012
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,125,0.06828424034094724,0.002331368739470123,0.014135673917061387,0.013324721451887511,0.014135673917061387
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,150,0.06817315499371163,0.002323789530898314,0.014130465291635919,0.013318378183392932,0.014130465291635919
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,175,0.06807118174851179,0.002316842892319462,0.01412569114534018,0.01331255437598039,0.01412569114534018
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,200,0.06797642733108014,0.0023103973363488095,0.014121261169020294,0.013307142104258762,0.014121261169020294
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,225,0.06788757528282255,0.0023043614388904496,0.014117112569984935,0.013302066323615414,0.014117112569984935
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,250,0.06780366634247037,0.0022986685847405245,0.014113199594907366,0.013297272351154965,0.014113199594907366
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,275,0.06772397590266244,0.0022932684560322014,0.014109487683884592,0.01329271888025857,0.014109487683884592
30,20,302123,0.5,0.05,0.02,0.3,0.5,1000,6,0.001,25,25,full_batch,300,0.06764794074166512,0.002288121943293918,0.014105949975228183,0.01328837380400566,0.014105949975228183
