risk,K,n,reps,uniform_successes,uniform_success_rate,uniform_eta_q05,uniform_eta_median,uniform_eta_q95,uniform_eta_max,uniform_time_median_s
cvar,30,5,100,23,0.23,0.006786629851554898,0.015621027129452097,0.030948940497896288,0.04264478175399844,0.0012455624528229237
cvar,30,10,100,7,0.07,0.009042040703844867,0.015485068732315727,0.024676350631417203,0.033482739838532005,0.0013227290473878384
cvar,30,20,100,9,0.09,0.009554787426895594,0.013187155134635947,0.019957384825875044,0.02369916321082499,0.0014638961292803288
cvar,30,50,100,25,0.25,0.008854198065593724,0.01097922803471496,0.014334519644328575,0.017940387747861775,0.0021864790469408035
cvar,100,5,100,93,0.93,0.0014618225211551928,0.004805898875979792,0.010349504191286213,0.014008307886724303,0.0021991876419633627
cvar,100,10,100,96,0.96,0.0031414648659464695,0.005218955188175389,0.009620374102107171,0.01223942613000556,0.0026194164529442787
cvar,100,20,100,100,1.0,0.003442793915593381,0.00506674038556032,0.007753535671061634,0.008634530464981305,0.0033235414884984493
cvar,100,50,100,100,1.0,0.0036477297243301455,0.004394985275900237,0.005529374634277733,0.006753948300547263,0.005089187761768699
cvar,250,5,100,100,1.0,0.0008007249597184934,0.00170838352797964,0.004262220705529385,0.0058337765639774886,0.005219500046223402
cvar,250,10,100,100,1.0,0.0012017315904758019,0.0021694689878131446,0.0035600313439182432,0.004427454056360913,0.0064971256069839
cvar,250,20,100,100,1.0,0.0015092336663296013,0.0021047547385606713,0.0032168976159944627,0.004126046262910299,0.008816041983664036
cvar,250,50,100,100,1.0,0.0015732355456993473,0.001991606926912387,0.0025612505501414863,0.0029376036256261173,0.015614479081705213
cvar,500,5,100,100,1.0,0.00038921042731343005,0.0009400125829329142,0.001923853739749631,0.0023573009484261775,0.01304931310005486
cvar,500,10,100,100,1.0,0.0004964347512854516,0.0009553877574350889,0.0016480980616131536,0.0022586084258440775,0.017806375166401267
cvar,500,20,100,100,1.0,0.0007354065313437353,0.0010817893174244753,0.0014710529195717025,0.0018190906872576629,0.02487687487155199
cvar,500,50,100,100,1.0,0.0008214968895845609,0.0010247823065399064,0.0012996716350991422,0.001504024849186325,0.04892327100969851
msd,30,5,100,4,0.04,0.010501402330846357,0.02393947286998227,0.041734773424262205,0.04734048251676193,0.0012546039652079344
msd,30,10,100,3,0.03,0.01151417823263617,0.019052636896052577,0.03381548723812918,0.03700410321644876,0.0013605211861431599
msd,30,20,100,2,0.02,0.011701926055892473,0.016743073181675172,0.026996385745934277,0.03109095244877602,0.0013826459180563688
msd,30,50,100,3,0.03,0.010486463066350076,0.013025970375627777,0.017609908591602257,0.02044364105342733,0.001917875139042735
msd,100,5,100,68,0.68,0.0034023358882623147,0.00782218449681174,0.01642605678227826,0.025672823635716324,0.0019968964625149965
msd,100,10,100,78,0.78,0.004660326015342211,0.007976652120246092,0.013194978368983631,0.018884112282985976,0.0022961669601500034
msd,100,20,100,94,0.94,0.004849050778447536,0.006745781882954521,0.010164393475635322,0.012159572524415019,0.0031228335574269295
msd,100,50,100,100,1.0,0.004344227935462205,0.005552930591883998,0.007018995947031006,0.00940153980703573,0.004747520899400115
msd,250,5,100,98,0.98,0.0011802783497191938,0.0034119045455291985,0.007004971003167958,0.012477591153302603,0.004917562240734696
msd,250,10,100,100,1.0,0.0019964760264714917,0.003654813822920877,0.005771394433433071,0.00883769063446671,0.005609250394627452
msd,250,20,100,100,1.0,0.0022390052477999217,0.0034012065514151812,0.00471202795451813,0.005353475226486382,0.007028541527688503
msd,250,50,100,100,1.0,0.0023468759986968154,0.002833091375335106,0.003613660705979396,0.004735231460930245,0.012475916417315602
msd,500,5,100,100,1.0,0.0006261280166157124,0.001530487973899236,0.0035179406159220605,0.004426645496192982,0.011129937367513776
msd,500,10,100,100,1.0,0.0009893712916476892,0.001910024904869384,0.0030529998769832753,0.004531200912448741,0.01435241661965847
msd,500,20,100,100,1.0,0.0011402157661649203,0.0017755241986983916,0.002600837465429243,0.0034130126646382264,0.018263604026287794
msd,500,50,100,100,1.0,0.0011980784406873002,0.0015615176937709696,0.00200031113381984,0.0024019387151762994,0.031917416490614414
