,K,n,seed,small_time_s,small_success,small_eta,mcp_time_s,mcp_success,mcp_eta
0,5,5,50623,0.39794495794922113,True,9.992007221626409e-16,0.041874667163938284,True,2.220446049250313e-16
1,5,5,50624,15.559299957938492,False,0.031654258522647916,0.04186908295378089,True,2.220446049250313e-16
2,5,5,50625,15.673678917111829,False,0.01574234702524452,0.039237541845068336,True,3.3306690738754696e-16
3,5,5,50626,0.07183187501505017,True,3.9968028886505635e-15,0.08060283306986094,True,1.3322676295501878e-15
4,5,5,50627,0.4653117919806391,True,0.006358347030763878,0.04213645891286433,True,1.5543122344752192e-15
5,5,10,51123,0.9203847500029951,True,0.0015618891399958867,0.09140074998140335,False,
6,5,10,51124,16.747094416990876,False,0.017372790359529544,0.059845083160325885,True,8.881784197001252e-16
7,5,10,51125,0.3190200000535697,True,0.0016640379990183751,0.05523945786990225,True,7.771561172376096e-16
8,5,10,51126,1.0123297499958426,True,0.001135745798678256,0.053496999898925424,True,3.885780586188048e-15
9,5,10,51127,20.466224000090733,False,0.010196094395374389,0.06390008400194347,True,-7.099654197872951e-12
10,5,20,52123,6.003557957941666,True,0.006722356785555772,0.1115574159193784,True,8.881784197001252e-16
11,5,20,52124,26.592714458005503,False,0.010119164543976766,0.2184357091318816,False,
12,5,20,52125,25.66495079197921,False,0.016892759199885088,0.1884108749218285,False,
13,5,20,52126,26.21931558311917,False,0.022126027046333485,0.13136574998497963,True,-2.482014593852e-12
14,5,20,52127,10.073535250034183,True,0.009685665896453144,0.22628879197873175,False,
15,5,50,55123,47.65685420902446,False,0.020511051029725613,0.6728837501723319,True,3.774758283725532e-15
16,5,50,55124,52.19887179112993,False,0.012619600223054417,1.0618177910801023,False,
17,5,50,55125,51.466733457986265,False,0.019463149263261537,0.6182429580949247,True,2.886579864025407e-14
18,5,50,55126,51.46689233300276,False,0.01918471064172733,0.9353097919374704,False,
19,5,50,55127,2.576478249859065,True,0.008771855627459635,0.6020577908493578,True,7.771561172376096e-15
20,10,5,100623,0.24377620895393193,True,0.009595210620991335,0.06762483296915889,True,2.220446049250313e-16
21,10,5,100624,4.373056416865438,True,0.002847849240641964,0.056877125054597855,True,1.6653345369377348e-16
22,10,5,100625,0.8736991670448333,True,0.0029443555785354514,0.05286658299155533,True,1.1102230246251565e-16
23,10,5,100626,0.14710937510244548,True,0.008445474832368016,0.18259058287367225,True,2.220446049250313e-16
24,10,5,100627,18.427222582977265,False,0.012978349861343497,0.05542949982918799,True,5.551115123125783e-16
25,10,10,101123,1.3087226250208914,True,0.009071401926808553,0.07651858404278755,True,4.440892098500626e-16
26,10,10,101124,21.823249208042398,False,0.02713133210110913,0.07358137494884431,True,-7.570610804918942e-13
27,10,10,101125,22.311873583123088,False,0.011169452015722836,0.08313604188151658,True,1.4432899320127035e-15
28,10,10,101126,2.738940916955471,True,8.881784197001252e-16,0.07463270798325539,True,6.661338147750939e-16
29,10,10,101127,0.7691218750551343,True,0.008956379516133262,0.07802479201927781,True,5.551115123125783e-16
30,10,20,102123,20.953657916979864,True,0.006072668054111774,0.20051787490956485,True,2.3314683517128287e-15
31,10,20,102124,1.1217328750062734,True,3.1086244689504383e-15,0.28670008410699666,True,1.5543122344752192e-15
32,10,20,102125,26.1492152500432,False,0.018287353646824767,0.2001997500192374,True,1.3322676295501878e-15
